label,replicate,budget,n_eval,eval_base_accuracy,n_train_traces,n_correct_traces,n_probe_traces,n_token_probe_rows,train_base_accuracy,auroc_rmd_tail_q20,auroc_probe_hidden_tail_q20,auroc_probe_token_tail_q20,aurc_B0,auacc_B0,excess_aurc_B0,aurc_B0_rmd,auacc_B0_rmd,excess_aurc_B0_rmd,aurc_B0_probe,auacc_B0_probe,excess_aurc_B0_probe,aurc_B0_token_probe,auacc_B0_token_probe,excess_aurc_B0_token_probe,aurc_B0_both,auacc_B0_both,excess_aurc_B0_both,delta_aurc_B0_rmd_minus_B0,delta_aurc_B0_probe_minus_B0,delta_aurc_B0_rmd_minus_B0_probe,delta_aurc_B0_both_minus_B0_rmd,delta_aurc_B0_token_probe_minus_B0,delta_aurc_B0_rmd_minus_B0_token_probe,seconds
qwen,3,50,312,0.6987179487179487,400,210,364,37985,0.6,0.7879172359945344,0.7052996291235605,0.7197930899863361,0.2785262513206548,0.718268620474217,-0.019550671756268345,0.15093871798410652,0.8458561538107653,-0.1471382050928166,0.21368345959915858,0.7831114121957132,-0.08439346347776455,0.21113022690692618,0.7856646448879456,-0.08694669616999695,0.16897821244479228,0.8278166593500795,-0.12909871063213085,-0.12758753333654826,-0.0648427917214962,-0.06274474161505206,0.018039494460685757,-0.0673960244137286,-0.06019150892281966,38.531360387802124
qwen,3,100,312,0.6987179487179487,800,438,727,71059,0.6,0.8112434120632442,0.7471208276400547,0.758930314268983,0.20021164853108686,0.796583223263785,-0.09786527454583627,0.11889188914563753,0.8779029826492343,-0.1791850339312856,0.157825854244953,0.8389690175499188,-0.14025106883197014,0.14510366073306225,0.8516912110618096,-0.15297326234386088,0.1342208592058869,0.8625740125889849,-0.16385606387103624,-0.08131975938544933,-0.04238579428613387,-0.03893396509931546,0.015328970060249358,-0.055107987798024616,-0.026211771587424715,57.51960635185242
qwen,4,25,314,0.6942675159235668,200,110,185,18900,0.6,0.685493119266055,0.7563073394495413,0.7627102446483182,0.2778597810382839,0.7189555055859199,-0.024687989662353083,0.2894508769238714,0.7073644097003324,-0.013096893776765595,0.28176833102633003,0.7150469555978738,-0.020779439674306954,0.2893948458973087,0.7074204407268951,-0.013152924803328303,0.28664538040517484,0.710169906219029,-0.015902390295462143,0.011591095885587488,0.003908549988046128,0.00768254589754136,-0.0028054965186965486,0.01153506485902478,5.603102656270842e-05,29.099607706069946
qwen,4,50,314,0.6942675159235668,400,225,366,37703,0.62,0.6618405963302753,0.7972572629969419,0.7566896024464832,0.1935230763044109,0.8032922103197929,-0.10902469439622609,0.1913226403232413,0.8054926463009625,-0.11122513037739568,0.13116847770838214,0.8656468089158217,-0.17137929299225485,0.16549661114554948,0.8313186754786543,-0.1370511595550875,0.14341108555539417,0.8534042010688097,-0.15913668514524282,-0.0022004359811695906,-0.062354598596028765,0.060154162614859175,-0.04791155476784714,-0.028026465158861424,0.025826029177691834,38.73664164543152
qwen,4,100,314,0.6942675159235668,800,425,719,73947,0.59,0.745269495412844,0.8130256116207951,0.7855982415902142,0.18898773714250483,0.807827549481699,-0.11356003355813216,0.15200469568355313,0.8448105909406507,-0.15054307501708386,0.1241696042076601,0.8726456824165437,-0.1783781664929769,0.14050084830670273,0.8563144383175011,-0.16204692239393426,0.12468847923383086,0.872126807390373,-0.17785929146680612,-0.036983041458951704,-0.06481813293484473,0.027835091475893026,-0.027316216449722264,-0.0484868888358021,0.011503847376850396,55.24586296081543
qwen,5,25,310,0.7161290322580646,200,112,189,19101,0.6,0.7224099099099099,0.69502457002457,0.7423218673218673,0.23853378325336028,0.7582404102950269,-0.0421113780369623,0.1969150771727648,0.7998591163756223,-0.08373008411755778,0.20493821045235827,0.7918359830960289,-0.0757069508379643,0.1677460568835909,0.8290281366647962,-0.11289910440673168,0.19473030835539518,0.802043885192992,-0.0859148529349274,-0.04161870608059548,-0.033595572801002005,-0.008023133279593475,-0.00218476881736962,-0.07078772636976938,0.029169020289173897,28.921156644821167
qwen,5,50,310,0.7161290322580646,400,203,370,39903,0.56,0.7107391482391482,0.6804361179361179,0.7294737919737919,0.16948292559164146,0.8272912679567457,-0.11116223569868111,0.16527252293775319,0.831501670610634,-0.11537263835256939,0.17667822642393438,0.8200959671244528,-0.1039669348663882,0.14123232455334,0.8555418689950471,-0.13941283673698257,0.17235432030812825,0.8244198732402589,-0.10829084098219433,-0.004210402653888279,0.007195300832292917,-0.011405703486181196,0.007081797370375065,-0.02825060103830146,0.02404019838441318,37.128812313079834
qwen,5,100,310,0.7161290322580646,800,416,747,76538,0.57,0.7797399672399671,0.7483619983619983,0.7635647010647011,0.18847477085964548,0.8082994226887417,-0.0921703904306771,0.11644411340964256,0.8803300801387446,-0.16420104788068002,0.12983463738500045,0.8669395561633867,-0.15081052390532212,0.12794381358531703,0.8688303799630701,-0.15270134770500554,0.1164270887599077,0.8803471047884794,-0.16421807253041487,-0.07203065745000292,-0.05864013347464503,-0.013390523975357893,-1.7024649734853625e-05,-0.060530957274328445,-0.011499700175674477,54.81817126274109
qwen,6,25,309,0.686084142394822,200,136,186,16491,0.68,0.6665531997665823,0.6531316864423263,0.6069830772223305,0.20773334270139665,0.7890304113439108,-0.10294626894908887,0.21442663146424912,0.7823371225810584,-0.0962529801862364,0.21661397015751072,0.7801497838877968,-0.0940656414929748,0.20886730674257925,0.7878964473027282,-0.10181230490790627,0.22012686407405058,0.7766368899712569,-0.09055274757643494,0.006693288762852467,0.008880627456114065,-0.002187338693261598,0.005700232609801459,0.0011339640411826002,0.005559324721669867,29.96230721473694
qwen,6,50,309,0.686084142394822,400,245,376,35665,0.66,0.7783018867924529,0.6738475004862868,0.6647053102509239,0.2170302726450758,0.7797334814002317,-0.09364933900540973,0.19994635451908227,0.7968173995262252,-0.11073325713140325,0.2350189336786116,0.7617448203666959,-0.07566067797187392,0.23439148570359303,0.7623722683417145,-0.0762881259468925,0.19441283660005582,0.8023509174452517,-0.1162667750504297,-0.017083918125993525,0.017988661033535802,-0.03507257915952933,-0.005533517919026454,0.017361213058517233,-0.03444513118451076,37.95373058319092
qwen,6,100,309,0.686084142394822,800,491,766,76601,0.66,0.796975296634896,0.784672242754328,0.7752382804901771,0.2055004713280223,0.7912632827172852,-0.10517914032246323,0.13950962871271544,0.857254125332592,-0.17116998293777008,0.16075103691554216,0.8360127171297653,-0.14992857473494337,0.15956269624900865,0.8372010577962988,-0.15111691540147687,0.1416241289583291,0.8551396250869784,-0.16905548269215642,-0.06599084261530686,-0.04474943441248014,-0.021241408202826717,0.0021145002456136597,-0.04593777507901364,-0.020053067536293212,55.32964563369751
qwen,7,25,317,0.6782334384858044,200,125,179,18531,0.72,0.5235294117647058,0.5818513451892385,0.6314637482900137,0.22834883830221875,0.7684965875652892,-0.09026314907948474,0.2507680201633311,0.7460774057041768,-0.06784396721837238,0.23295911520284318,0.7638863106646647,-0.0856528721788603,0.23807606777650037,0.7587693580910075,-0.08053591960520312,0.25059429843879144,0.7462511274287165,-0.06801768894291205,0.02241918186111236,0.004610276900624433,0.017808904960487926,-0.00017372172453966606,0.009727229474281618,0.01269195238683074,28.716667413711548
qwen,7,50,317,0.6782334384858044,400,245,362,35909,0.66,0.5986320109439125,0.6842225262197902,0.7215686274509803,0.21523116602423775,0.7816142598432702,-0.10338082135746574,0.21432701817165833,0.7825184076958496,-0.10428496921004515,0.21043578828134846,0.7864096375861594,-0.10817619910035503,0.2505032054670695,0.7463422204004384,-0.06810878191463399,0.21106963111204968,0.7857757947554582,-0.1075423562696538,-0.0009041478525794178,-0.004795377742889295,0.0038912298903098774,-0.003257387059608652,0.03527203944283175,-0.036176187295411166,37.432114362716675
qwen,7,100,317,0.6782334384858044,800,480,725,75055,0.65,0.7194254445964432,0.7684906520747834,0.7612859097127223,0.21803877653575665,0.7788066493317513,-0.10057321084594684,0.2155449902137132,0.7813004356537947,-0.10306699716799028,0.1901080442630554,0.8067373816044525,-0.1285039431186481,0.20739059046222552,0.7894548354052824,-0.11122139691947797,0.19260563597968972,0.8042397898878182,-0.12600635140201377,-0.0024937863220434453,-0.027930732272701264,0.02543694595065782,-0.02293935423402349,-0.01064818607353113,0.008154399751487684,54.38265895843506
qwen,8,25,313,0.6869009584664537,200,78,185,19282,0.44,0.7941148552444234,0.6883246321784527,0.7953013763644994,0.23855145124280286,0.7582536605782834,-0.07135270211182965,0.1792495159167108,0.8175555959043754,-0.13065463743792172,0.24553416079533041,0.7512709510257558,-0.06436999255930209,0.235975552312361,0.7608295595087252,-0.0739286010422715,0.16925218655901542,0.8275529252620708,-0.1406519667956171,-0.05930193532609207,0.006982709552527555,-0.06628464487861963,-0.009997329357695373,-0.0025758989304418556,-0.056726036395650214,25.263259410858154
qwen,8,50,313,0.6869009584664537,400,230,376,36571,0.62,0.780920740389179,0.7769340294257238,0.8172282866635026,0.20092549724532083,0.7958796145757654,-0.10897865610931168,0.13258229813564115,0.8642228136854451,-0.17732185521899135,0.1582950594071283,0.8385100524139579,-0.15160909394750421,0.14152412847283335,0.8552809833482529,-0.16838002488179915,0.13335353928698246,0.8634515725341038,-0.17655061406765005,-0.06834319910967968,-0.042630437838192536,-0.02571276127148714,0.0007712411513413064,-0.05940136877248747,-0.008941830337192203,36.27053165435791
qwen,8,100,313,0.6869009584664537,800,453,745,76145,0.61,0.7826767916468913,0.7864736592311343,0.7934029425723778,0.19632743706934552,0.8004776747517407,-0.11357671628528698,0.1359833082277867,0.8608218035932995,-0.1739208451268458,0.14980688055006286,0.8469982312710234,-0.16009727280456965,0.14591945966019038,0.8508856521608958,-0.16398469369444213,0.13605877343696238,0.8607463383841238,-0.17384537991767013,-0.06034412884155882,-0.04652055651928266,-0.013823572322276156,7.546520917567356e-05,-0.05040797740915515,-0.009936151432403673,54.88243365287781
qwen,9,25,314,0.6910828025477707,200,130,196,19080,0.72,0.815525678179486,0.785690531616704,0.7721506959950591,0.23227753256982497,0.7645377540543788,-0.07345495150660819,0.15751101798096567,0.8393042686432381,-0.1482214660954675,0.1297454124787909,0.8670698741454129,-0.17598707159764226,0.157583242651266,0.8392320439729378,-0.14814924142516717,0.12860747282707752,0.8682078137971263,-0.17712501124935565,-0.0747665145888593,-0.10253212009103407,0.027765605502174773,-0.028903545153888155,-0.07469428991855898,-7.222467030032487e-05,28.093875646591187
qwen,9,50,314,0.6910828025477707,400,234,375,37878,0.68,0.8016532851916954,0.7661171552092736,0.7780892203905174,0.29479983458657966,0.7020154520376242,-0.010932649489853508,0.141212426996013,0.8556028596281908,-0.16452005708042017,0.17312077220484257,0.8236945144193613,-0.1326117118715906,0.15552820245488974,0.8412870841693141,-0.15020428162154342,0.13960673321827854,0.8572085534059253,-0.16612575085815462,-0.15358740759056666,-0.12167906238173709,-0.03190834520882957,-0.0016056937777344515,-0.13927163213168992,-0.014315775458876745,37.73652005195618
