label,replicate,budget,n_eval,eval_base_accuracy,n_train_traces,n_correct_traces,n_probe_traces,train_base_accuracy,auroc_rmd_tail_q20,auroc_probe_hidden_tail_q20,aurc_B0,auacc_B0,excess_aurc_B0,aurc_B0_rmd,auacc_B0_rmd,excess_aurc_B0_rmd,aurc_B0_probe,auacc_B0_probe,excess_aurc_B0_probe,aurc_B0_both,auacc_B0_both,excess_aurc_B0_both,delta_aurc_B0_rmd_minus_B0,delta_aurc_B0_probe_minus_B0,delta_aurc_B0_rmd_minus_B0_probe,delta_aurc_B0_both_minus_B0_rmd,seconds
qwen,3,100,74,0.7297297297297297,800,438,727,0.6,0.6972222222222222,0.6388888888888888,0.20530157386462122,0.7811849126218653,-0.051455182892135576,0.13157307530223616,0.8549134111842503,-0.12518368145452063,0.23529026556257238,0.7511962209239141,-0.021466491194184423,0.17211656837957634,0.8143699181069102,-0.08464018837718046,-0.07372849856238506,0.029988691697951153,-0.10371719026033621,0.040543493077340176,42.91425848007202
qwen,3,200,74,0.7297297297297297,1600,849,1455,0.58,0.7027777777777778,0.7203703703703703,0.20184291419006428,0.7846435722964222,-0.05491384256669252,0.11489883384247901,0.8715876526440075,-0.1418579229142778,0.16835454249463,0.8181319439918565,-0.0884022142621268,0.1464514044128864,0.8400350820736001,-0.1103053523438704,-0.08694408034758527,-0.03348837169543428,-0.05345570865215099,0.03155257057040739,78.4116382598877
qwen,3,400,74,0.7297297297297297,3200,1784,2936,0.6275,0.7425925925925925,0.7509259259259259,0.18845608769590982,0.7980303987905767,-0.06830066906084697,0.11912538400482453,0.867361102481662,-0.13763137275193227,0.15227470890473427,0.8342117775817522,-0.10448204785202253,0.14781588590753114,0.8386706005789554,-0.10894087084922566,-0.0693307036910853,-0.036181378791175556,-0.03314932489990974,0.02869050190270661,151.07264280319214
qwen,4,25,75,0.68,200,110,185,0.6,0.6176470588235294,0.7475490196078431,0.34444482226483586,0.6422218444018308,0.037778155598169216,0.3541881358097818,0.6324785308568849,0.04752146914311517,0.34551063856797104,0.6411560280986957,0.0388439719013044,0.34964999688398657,0.6370166697826801,0.042983330217319926,0.009743313544945953,0.0010658163031351808,0.008677497241810772,-0.004538138925795243,19.362739086151123
qwen,4,50,75,0.68,400,225,366,0.62,0.5931372549019608,0.8031045751633987,0.1893266692556802,0.7973399974109865,-0.11733999741098644,0.21763460540359636,0.7690320612630703,-0.08903206126307028,0.12592815064128104,0.8607385160253856,-0.1807385160253856,0.16090930184069063,0.8257573648259761,-0.145757364825976,0.028307936147916157,-0.06339851861439916,0.09170645476231531,-0.05672530356290573,26.037371397018433
qwen,4,100,75,0.68,800,425,719,0.59,0.6666666666666667,0.7826797385620915,0.19336685765413164,0.793299809012535,-0.113299809012535,0.19548163128005425,0.7911850353866124,-0.1111850353866124,0.1388741775564013,0.8477924891102654,-0.16779248911026534,0.1545770142162033,0.8320896524504634,-0.15208965245046335,0.0021147736259226058,-0.05449268009773034,0.056607453723652945,-0.040904617063850957,39.11990284919739
qwen,4,200,75,0.68,1600,882,1459,0.615,0.7189542483660131,0.8602941176470589,0.19497614501873684,0.7916905216479299,-0.11169052164792981,0.18536696268734287,0.8012997039793238,-0.12129970397932377,0.11313849671339493,0.8735281699532718,-0.1935281699532717,0.16349400419940485,0.8231726624672618,-0.1431726624672618,-0.009609182331393962,-0.0818376483053419,0.07222846597394794,-0.02187295848793802,72.57763028144836
qwen,4,400,75,0.68,3200,1806,2939,0.6275,0.7769607843137255,0.8856209150326797,0.1979050066776592,0.7887616599890075,-0.10876165998900744,0.15453701441801038,0.8321296522486563,-0.15212965224865627,0.1012709058108765,0.8853957608557902,-0.20539576085579014,0.10981319547839818,0.8768534711882685,-0.19685347118826846,-0.043367992259648824,-0.0966341008667827,0.05326610860713388,-0.04472381893961219,145.01864910125732
qwen,5,25,80,0.6875,200,112,189,0.6,0.8087272727272727,0.728,0.2445011780442281,0.7429988219557719,-0.05549882195577194,0.15383239316135244,0.8336676068386476,-0.1461676068386476,0.20987700096641027,0.7776229990335898,-0.09012299903358978,0.1557363532260645,0.8317636467739355,-0.14426364677393555,-0.09066878488287566,-0.03462417707781784,-0.05604460780505782,0.0019039600647120514,19.147565841674805
qwen,5,50,80,0.6875,400,203,370,0.56,0.7301818181818182,0.7127272727272727,0.18586481474868777,0.8016351852513123,-0.11413518525131228,0.1750819748069007,0.8124180251930994,-0.12491802519309936,0.18408038135002724,0.8034196186499728,-0.1159196186499728,0.1852127531552329,0.8022872468447672,-0.11478724684476715,-0.010782839941787081,-0.0017844333986605232,-0.008998406543126558,0.010130778348332203,25.67874264717102
qwen,5,100,80,0.6875,800,416,747,0.57,0.7970909090909091,0.7418181818181818,0.21747070009977654,0.7700292999002235,-0.08252929990022351,0.1254239620580454,0.8620760379419546,-0.17457603794195464,0.15255206866724458,0.8349479313327555,-0.14744793133275547,0.12915923663333018,0.8583407633666699,-0.17084076336666987,-0.09204673804173114,-0.06491863143253196,-0.027128106609199176,0.003735274575284775,39.37548089027405
qwen,5,200,80,0.6875,1600,870,1486,0.59,0.8523636363636363,0.829090909090909,0.20311262124099205,0.784387378759008,-0.09688737875900799,0.11099765399703909,0.876502346002961,-0.18900234600296095,0.1141658896647586,0.8733341103352414,-0.18583411033524144,0.10532214843304522,0.8821778515669548,-0.19467785156695483,-0.09211496724395296,-0.08894673157623345,-0.00316823566771951,-0.005675505563993877,70.62056708335876
qwen,5,400,80,0.6875,3200,1785,2939,0.62,0.8385454545454546,0.8516363636363635,0.19521484751470153,0.7922851524852985,-0.10478515248529852,0.1030814802169383,0.8844185197830617,-0.19691851978306174,0.1045392917397091,0.8829607082602909,-0.19546070826029094,0.09907251733463018,0.8884274826653699,-0.20092748266536986,-0.09213336729776322,-0.09067555577499242,-0.0014578115227708022,-0.00400896288230812,143.57807731628418
qwen,6,25,75,0.6933333333333334,200,136,186,0.68,0.6170568561872909,0.6546822742474917,0.22370143815518073,0.762965228511486,-0.0696318951781526,0.23291854527081868,0.753748121395848,-0.06041478806251466,0.2315453112532705,0.7551213554133962,-0.06178802208006284,0.2389521220426526,0.7477145446240141,-0.05438121129068074,0.009217107115637946,0.00784387309808976,0.001373234017548186,0.006033576771833915,20.084958791732788
qwen,6,50,75,0.6933333333333334,400,245,376,0.66,0.7809364548494984,0.6797658862876255,0.21011917264211588,0.7765474940245508,-0.08321416069121745,0.18643850198108713,0.8002281646855796,-0.1068948313522462,0.2370685047749711,0.7495981618916956,-0.056264828558362234,0.20375959069503047,0.7829070759716362,-0.08957374263830287,-0.023680670661028747,0.02694933213285522,-0.050630002793883966,0.017321088713943333,26.542463302612305
qwen,6,100,75,0.6933333333333334,800,491,766,0.66,0.7775919732441471,0.7608695652173914,0.22292834759299218,0.7637383190736745,-0.07040498574034115,0.16608562948407413,0.8205810371825926,-0.1272477038492592,0.17183133848941712,0.8148353281772496,-0.12150199484391622,0.16414032734675021,0.8225263393199165,-0.12919300598658312,-0.056842718108918056,-0.051097009103575064,-0.0057457090053429916,-0.001945302137323912,41.148117542266846
qwen,6,200,75,0.6933333333333334,1600,921,1486,0.62,0.7600334448160535,0.7198996655518395,0.22554743135373923,0.7611192353129275,-0.06778590197959411,0.15209680769494016,0.8345698589717265,-0.14123652563839317,0.18171876705496004,0.8049478996117067,-0.1116145662783733,0.14987154602850195,0.8367951206381647,-0.1434617873048314,-0.07345062365879906,-0.043828664298779185,-0.02962195936001988,-0.0022252616664382163,73.28753399848938
qwen,6,400,75,0.6933333333333334,3200,1805,2951,0.62,0.7934782608695652,0.8386287625418061,0.2291481516183883,0.7575185150482784,-0.06418518171494503,0.16009842859596912,0.8265682380706976,-0.1332349047373642,0.11840766382482837,0.8682590028418383,-0.17492566950850497,0.1289503619198057,0.857716304746861,-0.16438297141352765,-0.06904972302241918,-0.11074048779355994,0.041690764771140754,-0.031148066676163433,146.8210928440094
qwen,7,25,78,0.6538461538461539,200,125,179,0.72,0.6056644880174291,0.5787944807552651,0.2517766681077114,0.7354028190717758,-0.081556665225622,0.21723002981290496,0.7699494573665823,-0.11610330352042841,0.2508878335740462,0.736291653605441,-0.08244549975928717,0.2328136451706425,0.7543658420088447,-0.10051968816269086,-0.03454663829480642,-0.0008888345336651726,-0.03365780376114125,0.015583615357737557,20.040944576263428
qwen,7,50,78,0.6538461538461539,400,245,362,0.66,0.6855482933914306,0.7218591140159768,0.23039325317050707,0.7567862340089802,-0.1029400801628263,0.22299116517082396,0.7641883220086633,-0.11034216816250941,0.22073426903153193,0.7664452181479553,-0.11259906430180144,0.22141039563939635,0.7657690915400909,-0.11192293769393702,-0.007402087999683116,-0.009658984138975146,0.0022568961392920306,-0.001580769531427606,26.78695845603943
qwen,7,100,78,0.6538461538461539,800,480,725,0.65,0.7719680464778504,0.7276688453159041,0.24430119727057287,0.7428782899089144,-0.0890321360627605,0.24075817261470212,0.7464213145647851,-0.09257516071863126,0.20386374503272475,0.7833157421467625,-0.12946958830060862,0.20585290137020018,0.781326585809287,-0.1274804319631332,-0.0035430246558707523,-0.040437452237848115,0.03689442758197736,-0.034905271244501934,41.990089416503906
qwen,7,200,78,0.6538461538461539,1600,919,1459,0.64,0.8278867102396513,0.7857661583151779,0.23708099670008864,0.7500984904793986,-0.09625233663324473,0.16830903256048546,0.8188704546190018,-0.1650243007728479,0.14990579297439077,0.8372736942050965,-0.1834275403589426,0.14545442551917964,0.8417250616603076,-0.18787890781415373,-0.06877196413960318,-0.08717520372569787,0.01840323958609469,-0.02285460704130582,73.70318293571472
